epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,950.918,0.70046,0.51388,0.87996,0.91012,0.9502,0.92863,0.72348,0.81333,0.60761,0.95111,0.000505,0.000505,0.000505
77,962.251,0.71928,0.53556,0.89688,0.91885,0.95078,0.93659,0.72755,0.85793,0.60726,0.96719,0.0004984,0.0004984,0.0004984
78,973.591,0.68636,0.52025,0.88313,0.92411,0.95079,0.94863,0.74005,0.84208,0.59208,0.95022,0.0004918,0.0004918,0.0004918
79,984.756,0.68351,0.49271,0.86204,0.92209,0.95055,0.95691,0.7419,0.83496,0.58019,0.94351,0.0004852,0.0004852,0.0004852
80,996,0.7088,0.52151,0.88325,0.8988,0.95405,0.94986,0.73328,0.85238,0.57345,0.95208,0.0004786,0.0004786,0.0004786
81,1007.31,0.69975,0.52448,0.88109,0.9189,0.95366,0.94685,0.72381,0.89235,0.56231,0.95843,0.000472,0.000472,0.000472
82,1018.83,0.68894,0.5231,0.87947,0.91622,0.9499,0.9529,0.75492,0.81121,0.53368,0.93244,0.0004654,0.0004654,0.0004654
83,1029.99,0.66823,0.48674,0.864,0.88762,0.93719,0.94363,0.71607,0.91001,0.60831,0.95758,0.0004588,0.0004588,0.0004588
84,1041.35,0.67551,0.4943,0.87272,0.93316,0.95102,0.94056,0.71874,0.89293,0.5849,0.95445,0.0004522,0.0004522,0.0004522
85,1052.71,0.68762,0.51759,0.88863,0.93067,0.95696,0.93279,0.73755,0.8496,0.57835,0.94427,0.0004456,0.0004456,0.0004456
86,1063.96,0.6853,0.51839,0.87744,0.92657,0.95366,0.94105,0.75737,0.79885,0.54626,0.94208,0.000439,0.000439,0.000439
87,1075.21,0.6593,0.46796,0.86632,0.91697,0.95687,0.95482,0.78018,0.75195,0.53875,0.92989,0.0004324,0.0004324,0.0004324
88,1086.56,0.70631,0.49693,0.88174,0.92995,0.95762,0.95296,0.76262,0.81251,0.54582,0.94137,0.0004258,0.0004258,0.0004258
89,1097.76,0.69402,0.50536,0.87247,0.92496,0.94385,0.95431,0.77054,0.76029,0.51343,0.92925,0.0004192,0.0004192,0.0004192
90,1108.98,0.66804,0.52951,0.88025,0.91542,0.94671,0.95034,0.75365,0.79142,0.55415,0.9358,0.0004126,0.0004126,0.0004126
91,1120.31,0.67227,0.49357,0.88022,0.9192,0.93122,0.93449,0.74108,0.80954,0.5655,0.93982,0.000406,0.000406,0.000406
92,1131.78,0.68657,0.48697,0.87528,0.90287,0.94266,0.92008,0.72454,0.86408,0.61848,0.95837,0.0003994,0.0003994,0.0003994
93,1142.88,0.66677,0.4541,0.87695,0.91201,0.94312,0.92527,0.73725,0.83449,0.59478,0.94954,0.0003928,0.0003928,0.0003928
94,1154.24,0.65969,0.49614,0.86353,0.94026,0.94158,0.9437,0.76707,0.77896,0.52848,0.93262,0.0003862,0.0003862,0.0003862
95,1165.6,0.64474,0.4689,0.86824,0.94597,0.94485,0.95059,0.77017,0.74198,0.54725,0.92432,0.0003796,0.0003796,0.0003796
96,1177.03,0.70082,0.50647,0.89223,0.93586,0.9462,0.95057,0.77747,0.71515,0.51218,0.91845,0.000373,0.000373,0.000373
97,1188.25,0.6491,0.4556,0.87684,0.93989,0.93403,0.94974,0.77299,0.75332,0.50301,0.92595,0.0003664,0.0003664,0.0003664
98,1199.5,0.64475,0.46752,0.86893,0.91968,0.94298,0.95363,0.77778,0.73229,0.48621,0.91897,0.0003598,0.0003598,0.0003598
99,1210.65,0.68805,0.47272,0.86919,0.93444,0.92665,0.95181,0.77581,0.73323,0.49663,0.92045,0.0003532,0.0003532,0.0003532
100,1222.09,0.71772,0.49495,0.87536,0.94542,0.91781,0.94132,0.7349,0.8431,0.56293,0.95431,0.0003466,0.0003466,0.0003466
101,1233.23,0.67505,0.48836,0.87283,0.9452,0.92212,0.94255,0.76931,0.74996,0.5146,0.92675,0.00034,0.00034,0.00034
102,1244.57,0.65508,0.45645,0.87934,0.92815,0.93534,0.94381,0.71352,0.93199,0.56392,0.97397,0.0003334,0.0003334,0.0003334
103,1255.65,0.65767,0.45268,0.87661,0.91711,0.94815,0.94561,0.76988,0.7713,0.53159,0.9259,0.0003268,0.0003268,0.0003268
104,1266.9,0.62612,0.46785,0.82969,0.93246,0.9437,0.94866,0.75517,0.75977,0.51415,0.91909,0.0003202,0.0003202,0.0003202
105,1278.35,0.63178,0.4694,0.86457,0.92129,0.9499,0.94986,0.77062,0.71844,0.51104,0.91099,0.0003136,0.0003136,0.0003136
106,1289.64,0.64432,0.44711,0.8688,0.92233,0.93995,0.95797,0.77087,0.74819,0.54054,0.92547,0.000307,0.000307,0.000307
107,1300.84,0.63901,0.43815,0.85906,0.92166,0.92811,0.95704,0.77839,0.78783,0.56129,0.93544,0.0003004,0.0003004,0.0003004
108,1312.12,0.66085,0.45191,0.86484,0.90789,0.94766,0.95087,0.77661,0.74144,0.55401,0.92096,0.0002938,0.0002938,0.0002938
109,1323.3,0.6229,0.46598,0.86394,0.90931,0.95784,0.94263,0.76189,0.78371,0.56269,0.93292,0.0002872,0.0002872,0.0002872
110,1334.66,0.65323,0.4598,0.8589,0.9085,0.95382,0.93934,0.76703,0.74975,0.54132,0.92839,0.0002806,0.0002806,0.0002806
111,1346.03,0.61111,0.42623,0.85482,0.91816,0.95393,0.94066,0.75699,0.77633,0.55021,0.9343,0.000274,0.000274,0.000274
112,1357.39,0.63811,0.46536,0.85435,0.9116,0.95784,0.94143,0.76682,0.75021,0.52781,0.92552,0.0002674,0.0002674,0.0002674
113,1368.39,0.62046,0.44616,0.8646,0.9066,0.95784,0.94658,0.77642,0.72779,0.4924,0.92118,0.0002608,0.0002608,0.0002608
114,1379.71,0.59578,0.43295,0.85595,0.91513,0.95247,0.95294,0.78104,0.73925,0.48595,0.92262,0.0002542,0.0002542,0.0002542
115,1390.82,0.60861,0.4231,0.85651,0.90008,0.95239,0.95187,0.78184,0.71937,0.5015,0.91953,0.0002476,0.0002476,0.0002476
116,1401.98,0.62981,0.43112,0.84865,0.90056,0.95031,0.95351,0.77067,0.77856,0.5324,0.93839,0.000241,0.000241,0.000241
117,1413.72,0.61522,0.44265,0.85238,0.89652,0.95867,0.95189,0.77776,0.73526,0.53022,0.924,0.0002344,0.0002344,0.0002344
118,1424.98,0.62343,0.43643,0.85291,0.90833,0.94758,0.94582,0.77556,0.7507,0.53781,0.92501,0.0002278,0.0002278,0.0002278
119,1436.18,0.62373,0.44331,0.87741,0.90465,0.94575,0.95049,0.78046,0.7454,0.54218,0.92427,0.0002212,0.0002212,0.0002212
120,1447.37,0.59706,0.42516,0.86186,0.8868,0.95134,0.94896,0.77065,0.75747,0.55286,0.92755,0.0002146,0.0002146,0.0002146
121,1458.46,0.60845,0.42607,0.85075,0.90451,0.94603,0.94269,0.76414,0.75634,0.54605,0.92608,0.000208,0.000208,0.000208
122,1469.86,0.63353,0.42897,0.86108,0.92216,0.94312,0.94161,0.76193,0.77482,0.54572,0.93009,0.0002014,0.0002014,0.0002014
123,1481.19,0.62807,0.42787,0.85227,0.92653,0.93785,0.94424,0.78565,0.70656,0.52103,0.91663,0.0001948,0.0001948,0.0001948
124,1492.47,0.59347,0.41065,0.84242,0.93308,0.93024,0.95079,0.78958,0.72282,0.5227,0.91977,0.0001882,0.0001882,0.0001882
125,1503.99,0.61736,0.41236,0.84483,0.92651,0.92742,0.9506,0.78444,0.71458,0.51099,0.91853,0.0001816,0.0001816,0.0001816
126,1517.44,0.60601,0.40653,0.85675,0.91676,0.94945,0.94802,0.77562,0.73975,0.51546,0.92595,0.000175,0.000175,0.000175
127,1530.01,0.64077,0.42832,0.86164,0.91524,0.95069,0.94867,0.76821,0.74039,0.51342,0.92583,0.0001684,0.0001684,0.0001684
128,1543.41,0.60671,0.41683,0.85912,0.9202,0.94946,0.94663,0.78663,0.69595,0.49602,0.91517,0.0001618,0.0001618,0.0001618
129,1556.31,0.61578,0.43472,0.86502,0.92446,0.9465,0.94893,0.77558,0.69704,0.50962,0.91379,0.0001552,0.0001552,0.0001552
130,1567.57,0.58317,0.41366,0.84579,0.93531,0.94424,0.95228,0.7822,0.72968,0.50922,0.92063,0.0001486,0.0001486,0.0001486
